sample_id,cram_url,md5sum
NA12778,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239484/NA12778.final.cram,b03ae320c1a3b13c750d23d28a8dbc13
NA12889,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239489/NA12889.final.cram,8a296693b8cc751be93f2f2ead749dd0
NA20754,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239834/NA20754.final.cram,9e8646bfa1091e89249b73376d47d442
NA20759,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239839/NA20759.final.cram,3607715f2dff0413bb3d42aec45f5f86
NA20766,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239846/NA20766.final.cram,750073b67d68f252a72f400485a362c4
NA20771,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239851/NA20771.final.cram,92ede3002b19d888c3a6f1b100070d19
NA20773,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239853/NA20773.final.cram,2514c423bfd1612580425e28076ae24d
HG00121,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240195/HG00121.final.cram,c499d569b5c7a0e22964d3078f8ce3b8
HG00159,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240200/HG00159.final.cram,94fd57aab695551ad5bf74777e2fe170
HG00232,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240202/HG00232.final.cram,a9075357d9cde7d93e961d483d937e93
NA20783,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239857/NA20783.final.cram,245fe0d9b2119d10a4a1c832a443eaf8
NA20786,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239859/NA20786.final.cram,4d9652054430f08116c3dcea015ae483
NA20796,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239864/NA20796.final.cram,a85ee403b9ad63b5a8514978992eabbf
NA20803,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239871/NA20803.final.cram,42311856d55e1561c42cb87755a7ecc0
HG00242,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240206/HG00242.final.cram,a7473804c49bd4f2c66bab5bd6004530
HG00244,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240208/HG00244.final.cram,4131571a34488c1a7882ee0810ffe78e
HG00256,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240213/HG00256.final.cram,d22be21101ae1d5ebd61d215deda6449
HG00264,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240221/HG00264.final.cram,b5a37d12f10651ee20e40c910dce0944
HG00269,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240226/HG00269.final.cram,66b4b0844bb3ac7044e587bf584e08cd
NA20810,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239878/NA20810.final.cram,ca69e81cdbbe4891070deb3cc6b0edb9
NA20815,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239883/NA20815.final.cram,b7e0c0ece2b8b3d0672959b0720b87d1
NA20819,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239885/NA20819.final.cram,8302a4a83b8c16ea97687dfce6bd8bef
NA20828,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239890/NA20828.final.cram,440c9e91c73a99a3128579dd1b348acd
HG00309,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240232/HG00309.final.cram,9d27b27cb21129f102ab65ddb7c43454
HG00313,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240234/HG00313.final.cram,069343c96e5c9f7bc20fbfb5e259c835
HG00321,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240239/HG00321.final.cram,ed8b8d47ba64fa47d4a132a7e92e4e41
HG00338,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240246/HG00338.final.cram,b4daa95cf2b1d95f0ae9131a1515448b
NA18867,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239547/NA18867.final.cram,d5faebda0ddf424cdbdcdc41ff1fccf8
HG00345,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240251/HG00345.final.cram,b52ab11d47a2480df3754a3450bee44a
HG00353,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240256/HG00353.final.cram,6732c5cb55de93f9c8651c063bdf7872
HG00362,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240263/HG00362.final.cram,8b020db900d3ad7d76a5b48ca3d9e3f7
HG00371,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240270/HG00371.final.cram,f70424722f3da4f73c8c1e72d1034dae
HG00376,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240274/HG00376.final.cram,410d57f120655fd7d76b4a0eb6278c5c
NA06986,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239277/NA06986.final.cram,09b26dac0e1f1d338c559260e9098748
NA19096,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239619/NA19096.final.cram,8e8279a2c946e76a47efa370e8d61610
NA19146,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239626/NA19146.final.cram,e0ee218407814c31c62d6329b11be92f
NA19189,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239631/NA19189.final.cram,0ec69564ecd2061e08608b846c4cd9aa
NA19198,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239633/NA19198.final.cram,54a0d8133a536dd9608484597ef109e8
NA07357,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239283/NA07357.final.cram,95ec238f9872c128e7b9a93ac27ee7f3
NA11831,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239288/NA11831.final.cram,706353216b429cf869f1dc1ced35c6f5
NA11840,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239290/NA11840.final.cram,c152040a3db04c092f950f856c282902
NA11920,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239295/NA11920.final.cram,c30b3ed7d364c8f30fff3e614fc25eac
NA12006,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239303/NA12006.final.cram,45f67b1b9dcd1104ecd692023f7b4eb4
NA19236,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239638/NA19236.final.cram,809c07db98316cefbf8f1bdb4d71e0ac
NA19248,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239640/NA19248.final.cram,407823b556310668746e8473fcc714a3
NA12155,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239309/NA12155.final.cram,993c8abd47a68d3635ec11a596e12dd9
NA12716,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239316/NA12716.final.cram,4f467db6821e15e339b02597bac7b614
NA12760,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239321/NA12760.final.cram,b04545f7dfe3e21133efeaf19c712453
NA12814,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239328/NA12814.final.cram,f633160e6ca4b69ec53372d6fd22f0c4
NA18486,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239335/NA18486.final.cram,6fb333eacd8ca5e7d94cbe8c6037f579
NA18502,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239340/NA18502.final.cram,2a2787f8a5854556a5370c3dbe1ead69
NA18505,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239342/NA18505.final.cram,49d5221b233af38b718366cb06a73891
NA18517,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239348/NA18517.final.cram,19ef3c083a27e76d1032ff69716782ee
NA18870,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239386/NA18870.final.cram,139969d4a4039dcd3b97e687b69ea905
NA18916,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239391/NA18916.final.cram,6fac4cf357f7358c7a984e0c1ee9c0bd
HG00097,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240115/HG00097.final.cram,951197ec39ef83f8be8eadafc88ce2fc
NA19098,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239423/NA19098.final.cram,a4cbea6f229dc8a8bfb6458a4b54a776
NA19102,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239425/NA19102.final.cram,535967d6484ebf8e34c1a4014dc6f13f
NA19129,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239430/NA19129.final.cram,e1f9881808de34f6ddc6925549e9213b
NA20504,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239787/NA20504.final.cram,3ba83b12aed90107e0a3f7723fa83d57
HG00106,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240122/HG00106.final.cram,616083b1571123cfd3cb58b7d3be9beb
HG00120,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240134/HG00120.final.cram,da2f2e4875d995320287225830398f5a
HG00128,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240136/HG00128.final.cram,797d7e3b11fe1496a47a45ad4ef8932d
NA19147,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239437/NA19147.final.cram,0fc84db9295c625c6deff1b3aff6ad5d
NA19190,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239444/NA19190.final.cram,76b7ea22f8f90f70cff868d171871382
NA19207,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239449/NA19207.final.cram,030bc7f9a9eced02e39f717d739ba384
NA19210,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239451/NA19210.final.cram,2b7f6ae09a1d2c02bdddf3d3b10b26e0
NA07056,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239456/NA07056.final.cram,65a6bec74f779502288041392df1856a
NA20510,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239793/NA20510.final.cram,009a0e3d93ebd7dfaeb533e675b3abc3
NA20515,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239798/NA20515.final.cram,1781252b893488d1da9b51f54f68bb29
HG00132,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240140/HG00132.final.cram,04bb6c14b69d6ccc859f50c17e86d1fc
HG00136,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240142/HG00136.final.cram,ce7f175b19ac7756418ba42ee327d1ac
HG00141,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240147/HG00141.final.cram,070a70b12d9ed17fdfe208a967f57bc4
HG00151,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240155/HG00151.final.cram,c4772d65f0ca771389c0c7ffdbc83617
HG00171,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240160/HG00171.final.cram,9bc1ee493f94bd6e332439f267096682
